bee;nest;treatment;tstartforaging;logtstartforaging;maxminusstarttime;sumfeedingtime;logsumfeedingtime;numberofvisitations;sumdistcovered;meanvisitduration;revisitations;countyellow;countorange;countblue;visitblue;visitorange;visityellow;allcolorsvisited;averagedistance;meanspeed;sumflowersvisited;visitspatchA;visitspatchB;visitspatchC;patchesvisited;allpatchesvisited;visitsperpatchrounded
201531004;3;control;815;2.911157609;1965;80;1.903089987;21;1287.688282;3.80952381;4;14;4;3;1;1;1;1;80.4805176;2.767026543;12;6;13;2;3;1;7
201531005;3;control;108;2.033423755;;1;0;1;;1;0;1;0;0;0;0;1;0;;;1;1;0;0;1;0;0
201531006;3;control;90;1.954242509;788;136;2.133538908;56;2787.280939;2.428571429;9;41;10;5;1;1;1;1;60.5930639;4.572772117;21;9;25;22;3;1;19
201531101;3;control;1;0;320;61;1.785329835;16;578.3555336;maalis.25;7;14;1;1;1;1;1;1;72.2944417;3.651351494;7;0;15;1;2;0;5
201531102;3;control;0;0;656;258;2.411619706;49;2845.622453;5.265306122;8;40;7;2;1;1;1;1;71.14056133;6.307129811;18;4;24;21;3;1;16
201531103;3;control;1;0;2062;318;2.50242712;65;1821.867895;4.892307692;32;55;6;4;1;1;1;1;56.93337173;4.889564477;20;8;34;23;3;1;22
201531104;3;control;2;0.301029996;4280;327;2.514547753;101;6677.699341;3.237623762;25;92;8;1;1;1;1;1;89.03599121;5.177103912;20;25;51;25;3;1;34
201531105;3;control;488;2.688419822;635;173;2.238046103;66;3015.829867;2.621212121;19;59;5;2;1;1;1;1;65.56151885;6.26164591;17;30;26;10;3;1;22
201532303;4;control;301;2.478566496;2448;256;2.408239965;85;4717.756237;3.011764706;22;77;7;1;1;1;1;1;76.09284253;4.474839177;20;15;47;23;3;1;28
201532304;4;control;113;2.053078443;2013;131;2.117271296;54;5667.21137;2.425925926;7;49;4;1;1;1;1;1;123.2002472;6.072802513;17;16;22;16;3;1;18
201532305;4;control;35;1.544068044;298;72;1.857332496;28;721.343702;2.571428571;9;22;6;0;0;1;1;0;40.07465011;3.626850797;11;0;22;6;2;0;9
201532306;4;control;190;2.278753601;58;5;0.698970004;2;;2.touko;1;0;2;0;0;1;0;0;;;1;0;2;0;1;0;1
201532307;4;control;222;2.346352974;2928;214;2.330413773;83;4661.644476;2.578313253;25;77;3;3;1;1;1;1;81.78323641;4.746295549;18;14;29;40;3;1;28
201532308;4;control;22;1.342422681;2222;142;2.152288344;41;1762.127889;3.463414634;16;36;5;0;0;1;1;0;73.42199538;3.010128387;14;9;27;5;3;1;14
201532309;4;control;38;1.579783597;287;47;1.672097858;28;1667.812047;1.678571429;7;28;0;0;0;0;1;0;83.39060233;7.000148842;13;5;16;7;3;1;9
201532401;4;control;15;1.176091259;1393;82;1.913813852;29;1455.00578;2.827586207;9;27;2;0;0;1;1;0;76.57925157;4.765512678;14;11;14;4;3;1;10
201532402;4;control;480;2.681241237;1559;219;2.340444115;57;2561.448468;3.842105263;15;51;6;0;0;1;1;0;62.47435288;4.740832346;16;10;37;10;3;1;19
201532403;4;control;331;2.519827994;476;147;2.167317335;46;2235.668869;3.195652174;6;40;4;2;1;1;1;1;57.32484279;5.020009888;19;20;16;10;3;1;15
201532404;4;control;17;1.230448921;503;123;2.089905111;42;2474.816183;2.928571429;8;38;4;0;0;1;1;0;74.99442979;6.088952687;16;4;18;20;3;1;14
201532405;4;control;16;1.204119983;1767;150;2.176091259;72;7344.171049;2.083333333;7;63;8;1;1;1;1;1;114.7526726;7.500058736;19;10;31;31;3;1;24
201532406;4;control;92;1.963787827;671;86;1.934498451;49;2424.301434;1.755102041;8;43;6;0;0;1;1;0;59.12930327;4.470553125;16;6;15;28;3;1;16
201532407;4;control;36;1.556302501;553;169;2.227886705;42;1408.399218;4.023809524;12;39;3;0;0;1;1;0;48.56549027;3.486423442;13;1;26;15;3;1;14
201532501;4;control;35;1.544068044;655;208;2.318063335;69;3115.64412;3.014492754;18;66;1;2;1;1;1;1;62.31288241;6.025862348;17;21;28;20;3;1;23
